,tags,data
0,massive addons plugins,"[{""string"": ""massive addons"", ""volume"": 30, ""m1"": 30, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 30, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": 40, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 40, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 30, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 30, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 40, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 30, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 50, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 30, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 40, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": 1.05524, ""cmp"": 0.010204081632653}, {""string"": ""massive addons for wpbakery page builder"", ""volume"": 20, ""m1"": 20, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 40, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 50, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": 10, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 20, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 20, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 20, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 20, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 20, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 20, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 20, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 20, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": 1.21475, ""cmp"": 0.035714285714286}, {""string"": ""massive addons for visual composer"", ""volume"": 10, ""m1"": 10, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": 10, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 10, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 10, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 10, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 10, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 10, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}, {""string"": ""massive addons for wpbakery page builder nulled"", ""volume"": 10, ""m1"": 10, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 10, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 10, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": null, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": null, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 10, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 10, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}, {""string"": ""massive addons for wpbakery"", ""volume"": 10, ""m1"": 10, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": 10, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 10, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 10, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 10, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 10, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 10, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": 1.651125, ""cmp"": 0.14285714285714}, {""string"": ""massive addons visual composer"", ""volume"": 10, ""m1"": null, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 10, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": null, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 10, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 10, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": null, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}, {""string"": ""massive addons wpbakery"", ""volume"": 10, ""m1"": null, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": null, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 10, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 10, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": 10, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 10, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}, {""string"": ""massive addons nulled"", ""volume"": 10, ""m1"": null, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": 10, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": null, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": null, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": null, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": null, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": null, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": null, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": 10, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": 10, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}, {""string"": ""wpbakery massive addons"", ""volume"": 10, ""m1"": 10, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": null, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": 10, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": 10, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": 10, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": 10, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": 10, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": null, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": 10, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": null, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": null, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}]"
1,envato toolkit plugins,
2,yuzo related posts plugins,
3,wpbakery page builder 5.6 plugins,"[{""string"": ""wpbakery visual composer 5.6"", ""volume"": null, ""m1"": null, ""m1_month"": 10, ""m1_year"": 2020, ""m2"": null, ""m2_month"": 9, ""m2_year"": 2020, ""m3"": null, ""m3_month"": 8, ""m3_year"": 2020, ""m4"": null, ""m4_month"": 7, ""m4_year"": 2020, ""m5"": null, ""m5_month"": 6, ""m5_year"": 2020, ""m6"": null, ""m6_month"": 5, ""m6_year"": 2020, ""m7"": null, ""m7_month"": 4, ""m7_year"": 2020, ""m8"": null, ""m8_month"": 3, ""m8_year"": 2020, ""m9"": null, ""m9_month"": 2, ""m9_year"": 2020, ""m10"": null, ""m10_month"": 1, ""m10_year"": 2020, ""m11"": null, ""m11_month"": 12, ""m11_year"": 2019, ""m12"": null, ""m12_month"": 11, ""m12_year"": 2019, ""cpc"": null, ""cmp"": null}]"
