,index,id,name,num_plugins,downloads,rating_count,rating,avg_down,avg_growth,std_growth,num_free,num_prem,first_page_free,first_page_premium,not_found,Top_premium
0,0,6313,total cache,1,1000000.0,2850,5.0,18604.579545454544,0.4638888888888889,0.0,0,1,0,19,1,1000000.0
5352,5632,5,translators,2,1000400.0,309,3.333333333,4364.340909090909,0.3263888888888889,0.18947368421052632,1,1,1,1,1,1000000.0
10290,10824,5203,maxcdn,1,1000000.0,4302,2.25,19725.424242424244,0.052777777777777785,0.0,0,1,0,0,1,1000000.0
10293,10827,3506,mc4wp,4,1013000.0,1241,2.25,6262.043560606059,0.4388888888888889,0.2460596677856884,3,1,3,1,2,1000000.0
3,3,7066,optimizing,1,900000.0,1100,5.0,14747.784090909092,0.26944444444444443,0.0,0,1,0,1,2,900000.0
